year,medal,time
1896,B,3:06:35
1896,G,2:58:50
1896,S,3:06:03
1900,B,3:37:14.0
1900,G,2:59:45.0
1900,S,3:04:17.0
1904,B,3:47:33
1904,G,3:28:53.0
1904,S,3:34:52.0
1908,B,2:57:10.4
1908,G,2:55:18.4
1908,S,2:56:06.0
1912,B,2:38:42.4
1912,G,2:36:54.8
1912,S,2:37:52.0
1920,B,2:36:32.8
1920,G,2:32:35.8
1920,S,2:32:48.6
1924,B,2:48:14.0
1924,G,2:41:22.6
1924,S,2:47:19.6
1928,B,2:35.02
1928,G,2:32.57
1928,S,2:33.23
1932,B,2:32:12
1932,G,2:31:36
1932,S,2:31:55
1936,B,2:31:42.0
1936,G,2:29:19.2
1936,S,2:31:23.2
1948,B,2:35:33.6
1948,G,2:34:51.6
1948,S,2:35:07.6
1952,B,2:26:07.0
1952,G,2:23:03.2
1952,S,2:25:35.0
1956,B,2:27:47
1956,G,2:25:00
1956,S,2:26:32
1960,B,2:17:18.2
1960,G,2:15:16.2
1960,S,2:15:41.6
1964,B,2:16:22.8
1964,G,2:12:11.2
1964,S,2:16:19.2
1968,B,2:23:45.0
1968,G,2:20:26.4
1968,S,2:23:31.0
1972,B,2:15:08.4
1972,G,2:12:19.8
1972,S,2:14:31.8
1976,B,2:11:12.6
1976,G,2:09:55.0
1976,S,2:10:45.8
1980,B,2:11:35.0
1980,G,2:11:03.0
1980,S,2:11:20.0
1984,B,2:09:58
1984,G,2:09:21
1984,S,2:09:56
1988,B,2:10:59
1988,G,2:10:32
1988,S,2:10:47
1992,B,2:14:00
1992,G,2:13:23
1992,S,2:13:45
1996,B,2:12:44
1996,G,2:12:36
1996,S,2:12:39
2000,B,02:11:10
2000,G,02:10:11
2000,S,02:10:31
2004,B,2h12:11
2004,G,2h10:55
2004,S,2h11:29
2008,B,2:10:00
2008,G,2:06:32
2008,S,2:07:16
2012,B,2:09:37
2012,G,2:08:01
2012,S,2:08:27
2016,B,2:10:05
2016,G,02:08:44
2016,S,2:09:54
